date,tone,volume,days,president,party,ongoing
2017-01-01,-1.166,0,31,Barack Obama,Democratic,FALSE
2017-02-01,-1.364,0,28,Donald Trump (1st term),Republican,FALSE
2017-03-01,-1.373,0,31,Donald Trump (1st term),Republican,FALSE
2017-04-01,-1.562,0,30,Donald Trump (1st term),Republican,FALSE
2017-05-01,-1.259,0,31,Donald Trump (1st term),Republican,FALSE
2017-06-01,-1.296,0,30,Donald Trump (1st term),Republican,FALSE
2017-07-01,-1.401,0,31,Donald Trump (1st term),Republican,FALSE
2017-08-01,-1.999,0,31,Donald Trump (1st term),Republican,FALSE
2017-09-01,-1.572,0,30,Donald Trump (1st term),Republican,FALSE
2017-10-01,-1.674,0,31,Donald Trump (1st term),Republican,FALSE
2017-11-01,-1.645,0,30,Donald Trump (1st term),Republican,FALSE
2017-12-01,-1.646,0,29,Donald Trump (1st term),Republican,FALSE
2018-01-01,-1.245,0,31,Donald Trump (1st term),Republican,FALSE
2018-02-01,-1.561,0,28,Donald Trump (1st term),Republican,FALSE
2018-03-01,-1.533,0,31,Donald Trump (1st term),Republican,FALSE
2018-04-01,-1.49,0,30,Donald Trump (1st term),Republican,FALSE
2018-05-01,-1.275,0,31,Donald Trump (1st term),Republican,FALSE
2018-06-01,-1.288,0,30,Donald Trump (1st term),Republican,FALSE
2018-07-01,-1.417,0,31,Donald Trump (1st term),Republican,FALSE
2018-08-01,-1.677,0,31,Donald Trump (1st term),Republican,FALSE
2018-09-01,-1.789,0,30,Donald Trump (1st term),Republican,FALSE
2018-10-01,-1.043,0,1,Donald Trump (1st term),Republican,FALSE
2020-01-01,-1.774,0,31,Donald Trump (1st term),Republican,FALSE
2020-02-01,-1.137,0,29,Donald Trump (1st term),Republican,FALSE
2020-03-01,-1.708,0,31,Donald Trump (1st term),Republican,FALSE
2020-04-01,-1.694,0,30,Donald Trump (1st term),Republican,FALSE
2020-05-01,-1.721,0,31,Donald Trump (1st term),Republican,FALSE
2020-06-01,-2.081,0,30,Donald Trump (1st term),Republican,FALSE
2020-07-01,-1.981,0,31,Donald Trump (1st term),Republican,FALSE
2020-08-01,-1.703,0,31,Donald Trump (1st term),Republican,FALSE
2020-09-01,-1.619,0,30,Donald Trump (1st term),Republican,FALSE
2020-10-01,-1.553,0,1,Donald Trump (1st term),Republican,FALSE
2021-01-01,-1.941,0,31,Donald Trump (1st term),Republican,FALSE
2021-02-01,-1.669,0,28,Joe Biden,Democratic,FALSE
2021-03-01,-1.353,0,31,Joe Biden,Democratic,FALSE
2021-04-01,-1.334,0,30,Joe Biden,Democratic,FALSE
2021-05-01,-1.384,0,31,Joe Biden,Democratic,FALSE
2021-06-01,-1.167,0,30,Joe Biden,Democratic,FALSE
2021-07-01,-1.492,0,31,Joe Biden,Democratic,FALSE
2021-08-01,-1.644,0,31,Joe Biden,Democratic,FALSE
2021-09-01,-1.526,0,30,Joe Biden,Democratic,FALSE
2021-10-01,-1.237,0,31,Joe Biden,Democratic,FALSE
2021-11-01,-1.153,0,30,Joe Biden,Democratic,FALSE
2021-12-01,-1.306,0,31,Joe Biden,Democratic,FALSE
2022-01-01,-1.434,0,31,Joe Biden,Democratic,FALSE
2022-02-01,-1.552,0,28,Joe Biden,Democratic,FALSE
2022-03-01,-1.695,0,31,Joe Biden,Democratic,FALSE
2022-04-01,-1.552,0,30,Joe Biden,Democratic,FALSE
2022-05-01,-1.439,0,31,Joe Biden,Democratic,FALSE
2022-06-01,-1.319,0,30,Joe Biden,Democratic,FALSE
2022-07-01,-0.872,0,1,Joe Biden,Democratic,FALSE
2023-01-01,-1.28,0,31,Joe Biden,Democratic,FALSE
2023-02-01,-1.158,0,28,Joe Biden,Democratic,FALSE
2023-03-01,-1.395,0,30,Joe Biden,Democratic,FALSE
2023-04-01,-1.37,0,30,Joe Biden,Democratic,FALSE
2023-05-01,-1.225,0,31,Joe Biden,Democratic,FALSE
2023-06-01,-1.262,0,30,Joe Biden,Democratic,FALSE
2023-07-01,-1.202,0,31,Joe Biden,Democratic,FALSE
2023-08-01,-1.717,0,31,Joe Biden,Democratic,FALSE
2023-09-01,-1.209,0,30,Joe Biden,Democratic,FALSE
2023-10-01,-1.535,0,31,Joe Biden,Democratic,FALSE
2023-11-01,-1.194,0,30,Joe Biden,Democratic,FALSE
2023-12-01,-1.577,0,31,Joe Biden,Democratic,FALSE
2024-01-01,-1.456,0,31,Joe Biden,Democratic,FALSE
2024-02-01,-1.234,0,29,Joe Biden,Democratic,FALSE
2024-03-01,-1.201,0,31,Joe Biden,Democratic,FALSE
2024-04-01,-1.021,0,1,Joe Biden,Democratic,FALSE
2024-10-01,-1.228,0,31,Joe Biden,Democratic,FALSE
2024-11-01,-0.873,0,30,Joe Biden,Democratic,FALSE
2024-12-01,-1.24,0,31,Joe Biden,Democratic,FALSE
2025-01-01,-1.401,0,31,Joe Biden,Democratic,FALSE
2025-02-01,-1.317,0,28,Donald Trump (2nd term),Republican,TRUE
2025-03-01,-1.536,0,31,Donald Trump (2nd term),Republican,TRUE
2025-04-01,-1.442,0,1,Donald Trump (2nd term),Republican,TRUE
2025-10-01,-1.525,0,31,Donald Trump (2nd term),Republican,TRUE
2025-11-01,-1.388,0,30,Donald Trump (2nd term),Republican,TRUE
2025-12-01,-1.456,0,31,Donald Trump (2nd term),Republican,TRUE
2026-01-01,-1.932,0,31,Donald Trump (2nd term),Republican,TRUE
2026-02-01,-1.27,0,28,Donald Trump (2nd term),Republican,TRUE
2026-03-01,-1.8,0,31,Donald Trump (2nd term),Republican,TRUE
2026-04-01,-1.806,0,29,Donald Trump (2nd term),Republican,TRUE
